
2020年硕士研究生一志愿复试分数线及名单公示,http://lxy.hzau.edu.cn/info/1042/7462.htm,2020-04-23
理学院拟接收2019级转专业学生名单公示,http://lxy.hzau.edu.cn/info/1042/7254.htm,2020-02-12
【院务公开】理学院2019年度考核优秀公示,http://lxy.hzau.edu.cn/info/1042/7152.htm,2020-01-04
理学院2019级本科生转专业面试考核安排,http://lxy.hzau.edu.cn/info/1042/7134.htm,2019-12-24
理学院2019级本科生转专业申请公示,http://lxy.hzau.edu.cn/info/1042/7113.htm,2019-12-18
理学院2019年研究生指导教师遴选申报名单公示,http://lxy.hzau.edu.cn/info/1042/7059.htm,2019-12-04
理学院2019-2020学年本科生转专业考核方案,http://lxy.hzau.edu.cn/info/1042/7055.htm,2019-12-03
应用光学实验采购项目结果公告,http://lxy.hzau.edu.cn/info/1042/6922.htm,2019-10-23
理学院2018—2019学年度三好研究生评选结果公示,http://lxy.hzau.edu.cn/info/1042/6907.htm,2019-10-17
理学院2019年研究生国家奖学金评选结果公示,http://lxy.hzau.edu.cn/info/1042/6906.htm,2019-10-17
华中农业大学理学院专任教师招聘,http://lxy.hzau.edu.cn/info/1042/6882.htm,2019-10-11
理学院2018—2019学年度优秀研究生干部评选结果公示,http://lxy.hzau.edu.cn/info/1042/6868.htm,2019-10-09
理学院2020年推荐免试资格名单公示,http://lxy.hzau.edu.cn/info/1042/6803.htm,2019-09-18
理学院2020年推荐优秀应届本科毕业生免试攻读硕士学位研究生工作方案,http://lxy.hzau.edu.cn/info/1042/6786.htm,2019-09-12
分光光度计等采购结果公告,http://lxy.hzau.edu.cn/info/1042/6598.htm,2019-06-21
理学院2019年党风廉政建设宣传教育月活动方案,http://lxy.hzau.edu.cn/info/1042/6505.htm,2019-05-10
理学院拟接收2018级转专业学生名单公示,http://lxy.hzau.edu.cn/info/1042/6501.htm,2019-05-07
化学实验教学中心提升建设（2 期）---实验凳采购结果公告,http://lxy.hzau.edu.cn/info/1042/6499.htm,2019-05-07
理学院2019级本科生转专业申请公示,http://lxy.hzau.edu.cn/../info/1042/7113.htm,2019-12-18
理学院2019年研究生指导教师遴选申报名单公示,http://lxy.hzau.edu.cn/../info/1042/7059.htm,2019-12-04
理学院2019-2020学年本科生转专业考核方案,http://lxy.hzau.edu.cn/../info/1042/7055.htm,2019-12-03
应用光学实验采购项目结果公告,http://lxy.hzau.edu.cn/../info/1042/6922.htm,2019-10-23
理学院2018—2019学年度三好研究生评选结果公示,http://lxy.hzau.edu.cn/../info/1042/6907.htm,2019-10-17
理学院2019年研究生国家奖学金评选结果公示,http://lxy.hzau.edu.cn/../info/1042/6906.htm,2019-10-17
华中农业大学理学院专任教师招聘,http://lxy.hzau.edu.cn/../info/1042/6882.htm,2019-10-11
理学院2018—2019学年度优秀研究生干部评选结果公示,http://lxy.hzau.edu.cn/../info/1042/6868.htm,2019-10-09
理学院2020年推荐免试资格名单公示,http://lxy.hzau.edu.cn/../info/1042/6803.htm,2019-09-18
理学院2020年推荐优秀应届本科毕业生免试攻读硕士学位研究生工作方案,http://lxy.hzau.edu.cn/../info/1042/6786.htm,2019-09-12
分光光度计等采购结果公告,http://lxy.hzau.edu.cn/../info/1042/6598.htm,2019-06-21
理学院2019年党风廉政建设宣传教育月活动方案,http://lxy.hzau.edu.cn/../info/1042/6505.htm,2019-05-10
理学院拟接收2018级转专业学生名单公示,http://lxy.hzau.edu.cn/../info/1042/6501.htm,2019-05-07
化学实验教学中心提升建设（2 期）---实验凳采购结果公告,http://lxy.hzau.edu.cn/../info/1042/6499.htm,2019-05-07
理学院2019年本科生转专业复试方案,http://lxy.hzau.edu.cn/../info/1042/6481.htm,2019-04-29
理学院2018级本科生转专业申请公示,http://lxy.hzau.edu.cn/../info/1042/6468.htm,2019-04-22
调剂复试成绩公示（第三轮）,http://lxy.hzau.edu.cn/../info/1042/6462.htm,2019-04-16
调剂复试资格名单（第三轮）,http://lxy.hzau.edu.cn/../info/1042/6451.htm,2019-04-15
理学院硕士调剂（第三轮）工作方案,http://lxy.hzau.edu.cn/../info/1042/6450.htm,2019-04-12
理学院学硕综合成绩（第二次调剂）,http://lxy.hzau.edu.cn/../info/1042/6449.htm,2019-04-11
第二轮调剂复试资格生名单,http://lxy.hzau.edu.cn/../info/1042/6431.htm,2019-04-09
研究生调剂（第二轮）复试录取工作方案,http://lxy.hzau.edu.cn/../info/1042/6421.htm,2019-04-08
硕士研究生招生调剂信息,http://lxy.hzau.edu.cn/../info/1042/6418.htm,2019-04-07
化学实验教学中心提升建设结果公告,http://lxy.hzau.edu.cn/../info/1042/6402.htm,2019-04-03
理学院学硕调剂生成绩公示20190402,http://lxy.hzau.edu.cn/../info/1042/6401.htm,2019-04-02
具复试资格的调剂生名单及初试分数公示,http://lxy.hzau.edu.cn/../info/1042/6396.htm,2019-03-29
2019年调剂生复试录取工作方案,http://lxy.hzau.edu.cn/../info/1042/6395.htm,2019-03-29
2019年理学院学术型硕士调剂缺额公布,http://lxy.hzau.edu.cn/../info/1042/6394.htm,2019-03-29
2019理学院农药学学硕 一志愿 研究生录取成绩汇总公示,http://lxy.hzau.edu.cn/../info/1042/6392.htm,2019-03-28
2019理学院化学学硕 一志愿 研究生录取成绩汇总公示,http://lxy.hzau.edu.cn/../info/1042/6391.htm,2019-03-28
2019理学院数学系 一志愿 研究生录取成绩汇总公示,http://lxy.hzau.edu.cn/../info/1042/6390.htm,2019-03-28
2019年理学院硕士研究生复试录取工作方案,http://lxy.hzau.edu.cn/../info/1042/6374.htm,2019-03-25
华中农业大学理学院“狮山有约”师生面对面交流信息一览表,http://lxy.hzau.edu.cn/../info/1042/6323.htm,2019-03-06
杂项采购结果公告,http://lxy.hzau.edu.cn/../info/1042/6284.htm,2019-01-18
玻璃仪器采购结果公告,http://lxy.hzau.edu.cn/../info/1042/6283.htm,2019-01-18
理学院硕士调剂（第三轮）工作方案,http://lxy.hzau.edu.cn/../info/1042/6450.htm,2019-04-12
理学院学硕综合成绩（第二次调剂）,http://lxy.hzau.edu.cn/../info/1042/6449.htm,2019-04-11
第二轮调剂复试资格生名单,http://lxy.hzau.edu.cn/../info/1042/6431.htm,2019-04-09
研究生调剂（第二轮）复试录取工作方案,http://lxy.hzau.edu.cn/../info/1042/6421.htm,2019-04-08
硕士研究生招生调剂信息,http://lxy.hzau.edu.cn/../info/1042/6418.htm,2019-04-07
化学实验教学中心提升建设结果公告,http://lxy.hzau.edu.cn/../info/1042/6402.htm,2019-04-03
理学院学硕调剂生成绩公示20190402,http://lxy.hzau.edu.cn/../info/1042/6401.htm,2019-04-02
具复试资格的调剂生名单及初试分数公示,http://lxy.hzau.edu.cn/../info/1042/6396.htm,2019-03-29
2019年调剂生复试录取工作方案,http://lxy.hzau.edu.cn/../info/1042/6395.htm,2019-03-29
