year,profession,professionAlias,college,collegeAlias,student,employmentRate,employmentAgreement,flexibleEmployment ,postgraduateStudy,studyAbroda,entrepreneurship
2016,茶学 ,Cx,园艺林学学院 ,YYLX,26,100,53.85,3.85,38.46,3.85,0
2016,地理信息系统 ,Dlxxxx,资源与环境学院 ,ZH,91,97.8,40.66,9.89,43.96,3.3,0
2016,动物科学 ,Dwkx,"动物科学技术学院
动物医学院",DYDK,155,97.42,46.45,5.81,43.23,1.29,0.65
2016,动物医学 ,Dwyx,"动物科学技术学院
动物医学院",DYDK,169,96.45,37.28,13.02,40.83,4.14,1.18
2016,法学 ,Fx,文法学院 ,WF,63,96.83,50.79,3.17,38.1,3.17,1.59
2016,风景园林 ,Fjyl,园艺林学学院 ,YYLX,65,96.92,43.08,0,43.08,10.77,0
2016,工程管理 ,Gcgl,公共管理学院 ,GG,84,97.62,66.67,7.14,15.48,8.33,0
2016,工商管理 ,Gsgl,经济管理学院 ,JG,63,93.65,68.25,6.35,11.11,7.94,0
2016,广告学 ,Ggx,文法学院 ,WF,94,95.74,68.09,3.19,18.09,6.38,0
2016,国际经济与贸易 ,Gjjjymy,经济管理学院 ,JG,92,92.39,63.04,8.7,16.3,4.35,0
2016,环境工程 ,Hjgc,资源与环境学院 ,ZH,57,96.49,52.63,0,38.6,5.26,0
2016,环境科学 ,Hjkx,资源与环境学院 ,ZH,50,100,48,14,38,0,0
2016,会计学 ,Kjx,经济管理学院 ,JG,182,90.66,58.79,8.24,15.93,7.69,0
2016,机械电子工程 ,Jxdzgc,工学院 ,GX,115,94.78,65.22,6.09,20.87,1.74,0.87
2016,机械设计制造及其自动化 ,Jxsjzzjqzdh,工学院 ,GX,172,94.77,61.05,1.74,29.07,2.91,0
2016,计算机科学与技术 ,Jsjkxyjs,信息学院 ,XX,114,94.74,69.3,1.75,21.05,1.75,0.88
2016,经济学 ,Jjx,经济管理学院 ,JG,79,89.87,40.51,6.33,27.85,15.19,0
2016,林学 ,Lx,园艺林学学院 ,YYLX,50,90,38,14,36,2,0
2016,农林经济管理 ,Nljjgl,经济管理学院 ,JG,106,79.25,43.4,6.6,20.75,8.49,0
