year,college,collegeAlias,student ,employmentRate,employmentAgreement,flexibleEmployment,postgraduateStudy,studyAbroad,entrepreneurship ,satisfaction,relevancy,monthlySalary,salaryMale,salaryFemale,maleDecFemale,monthlySalaryOneYear,salaryMaleOneYear,salaryFeMaleOneYear,maleDecFemaleOneYear
2015,动物科学技术学院-动物医学院 ,DYDk,204,,,,,,,,,,,,,5201.92,5316.67,5045.45,271.21
2015,工学院 ,GX,338,,,,,,,,,,,,,5363.9,5361.29,5390,-28.71
2015,公共管理学院 ,GG,144,,,,,,,,,,,,,5410,5394.74,5423.81,-29.07
2015,经济管理学院 ,JG,409,,,,,,,,,,,,,5345.22,6017.76,4929.47,1088.29
2015,理学院 ,LX,153,,,,,,,,,,,,,5330.77,5461.54,5069.23,392.31
2015,生命科学技术学院 ,SMKX,188,,,,,,,,,,,,,4730.27,5327.69,3318.18,2009.51
2015,食品科学技术学院 ,SK,107,,,,,,,,,,,,,4792.1,4745.88,4815.91,-70.03
2015,水产学院 ,SC,109,,,,,,,,,,,,,5412.76,5647.68,4755,892.68
2015,外国语学院 ,WGY,128,,,,,,,,,,,,,5700.13,6254.55,5520.76,733.78
2015,文法学院 ,WF,274,,,,,,,,,,,,,5020.66,5285.36,4818.24,467.12
2015,信息学院 ,XX,118,,,,,,,,,,,,,6800,6836.84,6692.31,144.53
2015,园艺林学学院 ,YYLX,254,,,,,,,,,,,,,4696.45,5218.04,4155.56,1062.48
2015,植物科学技术学院 ,ZK,216,,,,,,,,,,,,,4700.7,5218.89,4200.38,1018.51
2015,资源与环境学院 ,ZH,217,,,,,,,,,,,,,5029.05,5237.5,4723.33,514.17
2016,动物科学技术学院-动物医学院 ,DYDk,324,96.91,41.67,9.57,41.98,2.78,0.93,86.89,59.52,,,,,5334.51,5776.83,4730,1046.83
2016,工学院 ,GX,425,93.65,62.35,3.29,25.65,2.12,0.24,95.8,87.57,,,,,5492,5606.54,4741.18,865.37
2016,公共管理学院 ,GG,197,93.29,59.39,4.06,21.32,7.61,0,91.87,78.95,,,,,5430.47,5841.38,5090,751.38
